# RD|Action Code|State Code|County Code|Site ID|Parameter|POC|Sample Duration|Unit|Method|Date|Start Time|Sample Value|Null Data Code|Sampling Frequency|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
# RC|Action Code|State Code|County Code|Site ID|Parameter|POC|Unit|Method|Year|Period|Number of Samples|Composite Type|Sample Value|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
RD|I|17|031|0052|88101|1|7|105|120|19980509|00:00|7.9||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980510|00:00|6.6||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980511|00:00|11.4||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980512|00:00|23.5||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980513|00:00|15.6||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980514|00:00|26.2||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980515|00:00|56.5||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980516|00:00|7.3||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980517|00:00|9.8||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980518|00:00|13.2||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980519|00:00|25.9||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980520|00:00|12.2||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980521|00:00|5.7||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980522|00:00|9.0||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980523|00:00|8.8||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980524|00:00|19.4||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980525|00:00|11.6||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980526|00:00|27.7||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980527|00:00|29.5||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980528|00:00|25.6||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980529|00:00|11.8||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980530|00:00|18.9||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980531|00:00|10.4||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980601|00:00|10.0||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980602|00:00|7.8||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980603|00:00|7.1||1|||||||||||||
